comune,mcp,locale,locale15,n_celle,max30,max15,celle_nz,min_polo,classe,scarto,quota_nz
Montelibretti,1.785574,0.7833333333333333,0.0,60,2.0,0.0,34,37.7,D - Intermedio,1.0022406666666668,0.5666666666666667
Supino,1.78207,0.7446808510638298,0.06382978723404255,47,2.0,1.0,31,24.6,C - Cintura,1.0373891489361702,0.6595744680851063
Cave,1.779322,1.5238095238095237,0.6190476190476191,21,2.0,1.0,20,34.1,D - Intermedio,0.25551247619047635,0.9523809523809523
Mazzano Romano,1.778349,0.19444444444444445,0.0,36,1.0,0.0,7,36.3,D - Intermedio,1.5839045555555555,0.19444444444444445
Castrocielo,1.77165,0.9705882352941176,0.0,34,2.0,0.0,31,21.3,C - Cintura,0.8010617647058823,0.9117647058823529
Ceprano,1.768439,0.8723404255319149,0.0,47,2.0,0.0,39,23.5,C - Cintura,0.8960985744680852,0.8297872340425532
Borgorose,1.764916,0.425414364640884,0.016574585635359115,181,2.0,1.0,67,23.1,C - Cintura,1.3395016353591158,0.3701657458563536
Boville Ernica,1.738622,0.8918918918918919,0.0,37,2.0,0.0,30,23.5,C - Cintura,0.846730108108108,0.8108108108108109
Veroli,1.735469,0.5454545454545454,0.01948051948051948,154,2.0,1.0,69,19.7,C - Cintura,1.1900144545454545,0.44805194805194803
Monte San Giovanni Campano,1.728385,0.4032258064516129,0.0,62,2.0,0.0,15,24.7,C - Cintura,1.3251591935483873,0.24193548387096775
Fontechiari,1.720197,1.0454545454545454,0.3181818181818182,22,2.0,1.0,22,28.6,D - Intermedio,0.6747424545454546,1.0
Casalattico,1.719311,0.34285714285714286,0.0,35,2.0,0.0,7,24.5,C - Cintura,1.3764538571428573,0.2
Alvito,1.710816,0.8615384615384616,0.046153846153846156,65,2.0,1.0,51,26.3,C - Cintura,0.8492775384615383,0.7846153846153846
Acquapendente,1.709283,0.7012195121951219,0.3170731707317073,164,1.0,1.0,115,29.1,D - Intermedio,1.0080634878048782,0.7012195121951219
Broccostella,1.685066,1.0,1.0,14,1.0,1.0,14,28.7,D - Intermedio,0.685066,1.0
Cassino,1.629319,0.9615384615384616,0.5384615384615384,104,2.0,1.0,98,0.0,A - Polo,0.6677805384615384,0.9423076923076923
Cervaro,1.608264,0.8723404255319149,0.2553191489361702,47,2.0,1.0,39,13.4,C - Cintura,0.735923574468085,0.8297872340425532
Bolsena,1.59562,0.27848101265822783,0.0,79,1.0,0.0,22,23.7,C - Cintura,1.3171389873417723,0.27848101265822783
Sora,1.583503,0.7142857142857143,0.4175824175824176,91,2.0,1.0,61,30.3,D - Intermedio,0.8692172857142858,0.6703296703296703
Serrone,1.579555,0.0,0.0,19,0.0,0.0,0,45.0,E - Periferico,1.579555,0.0
Cori,1.566731,0.33962264150943394,0.0,106,2.0,0.0,28,27.5,C - Cintura,1.2271083584905662,0.2641509433962264
Capranica,1.55541,0.11320754716981132,0.0,53,1.0,0.0,6,28.2,D - Intermedio,1.4422024528301887,0.11320754716981132
Magliano Sabina,1.553384,0.8214285714285714,0.0,56,2.0,0.0,44,36.4,D - Intermedio,0.7319554285714287,0.7857142857142857
Trevignano Romano,1.544816,0.9591836734693877,0.08163265306122448,49,2.0,1.0,41,40.2,D - Intermedio,0.5856323265306123,0.8367346938775511
Prossedi,1.515305,0.45454545454545453,0.0,44,2.0,0.0,17,26.2,C - Cintura,1.0607595454545453,0.38636363636363635
Frosinone,1.501532,1.0526315789473684,0.8771929824561403,57,2.0,1.0,57,0.0,A - Polo,0.4489004210526317,1.0
Vallemaio,1.49843,0.045454545454545456,0.0,22,1.0,0.0,1,27.0,C - Cintura,1.4529754545454545,0.045454545454545456
Fara in Sabina,1.496789,0.3611111111111111,0.0,72,2.0,0.0,15,40.6,D - Intermedio,1.1356778888888888,0.20833333333333334
Fabrica di Roma,1.477955,0.9318181818181818,0.1590909090909091,44,1.0,1.0,41,28.0,D - Intermedio,0.5461368181818181,0.9318181818181818
Rocca di Cave,1.452626,0.6875,0.0625,16,1.0,1.0,11,43.4,E - Periferico,0.765126,0.6875
Soriano nel Cimino,1.449326,0.4329896907216495,0.020618556701030927,97,1.0,1.0,42,21.8,C - Cintura,1.0163363092783504,0.4329896907216495
Latina,1.41062,1.4265129682997117,0.37175792507204614,347,4.0,1.0,342,0.0,A - Polo,-0.015892968299711763,0.9855907780979827
Stimigliano,1.409336,0.058823529411764705,0.0,17,1.0,0.0,1,37.2,D - Intermedio,1.3505124705882352,0.058823529411764705
Barbarano Romano,1.405324,0.0,0.0,46,0.0,0.0,0,31.6,D - Intermedio,1.405324,0.0
Torrice,1.397904,1.0,0.043478260869565216,23,1.0,1.0,23,13.3,C - Cintura,0.39790400000000004,1.0
Fontana Liri,1.385746,0.13636363636363635,0.0,22,1.0,0.0,3,30.7,D - Intermedio,1.2493823636363635,0.13636363636363635
Agosta,1.382291,1.0,0.35714285714285715,14,1.0,1.0,14,35.3,D - Intermedio,0.38229099999999994,1.0
Picinisco,1.381914,0.07792207792207792,0.0,77,2.0,0.0,4,31.8,D - Intermedio,1.3039919220779221,0.05194805194805195
Lubriano,1.35283,0.6818181818181818,0.0,22,1.0,0.0,15,20.2,C - Cintura,0.6710118181818182,0.6818181818181818
Corchiano,1.339872,0.5333333333333333,0.044444444444444446,45,1.0,1.0,24,30.2,D - Intermedio,0.8065386666666666,0.5333333333333333
Aquino,1.326316,1.0,0.0,25,1.0,0.0,25,18.7,C - Cintura,0.32631600000000005,1.0
Segni,1.323295,0.76,0.30666666666666664,75,2.0,1.0,56,39.0,D - Intermedio,0.5632950000000001,0.7466666666666667
Bassano Romano,1.301125,0.22916666666666666,0.0,48,1.0,0.0,11,39.7,D - Intermedio,1.0719583333333333,0.22916666666666666
Tolfa,1.296258,0.15813953488372093,0.0,215,2.0,0.0,32,25.5,C - Cintura,1.138118465116279,0.14883720930232558
Olevano Romano,1.291001,0.3125,0.0,32,2.0,0.0,7,45.1,E - Periferico,0.9785010000000001,0.21875
San Gregorio da Sassola,1.272716,0.9534883720930233,0.046511627906976744,43,9.0,1.0,25,23.6,C - Cintura,0.3192276279069767,0.5813953488372093
San Polo dei Cavalieri,1.256566,0.21153846153846154,0.0,52,1.0,0.0,11,19.9,C - Cintura,1.0450275384615386,0.21153846153846154
Spigno Saturnia,1.249215,0.574468085106383,0.19148936170212766,47,1.0,1.0,27,19.8,C - Cintura,0.6747469148936169,0.574468085106383
Alatri,1.242972,0.6333333333333333,0.13333333333333333,120,1.0,1.0,76,22.2,C - Cintura,0.6096386666666667,0.6333333333333333
Pontecorvo,1.234757,0.1926605504587156,0.0,109,2.0,0.0,20,24.3,C - Cintura,1.0420964495412846,0.1834862385321101
Vasanello,1.205578,0.02857142857142857,0.0,35,1.0,0.0,1,31.2,D - Intermedio,1.1770065714285716,0.02857142857142857
Piglio,1.169931,0.2978723404255319,0.0,47,2.0,0.0,12,38.2,D - Intermedio,0.8720586595744682,0.2553191489361702
Rignano Flaminio,1.166518,0.6,0.0,50,2.0,0.0,29,39.1,D - Intermedio,0.566518,0.58
Montelanico,1.140533,0.5813953488372093,0.06976744186046512,43,1.0,1.0,25,35.7,D - Intermedio,0.5591376511627907,0.5813953488372093
Arnara,1.127738,1.0,0.0625,16,1.0,1.0,16,13.5,C - Cintura,0.1277379999999999,1.0
Pofi,1.121383,0.5641025641025641,0.0,39,1.0,0.0,22,16.7,C - Cintura,0.5572804358974359,0.5641025641025641
Roccasecca,1.119832,0.21428571428571427,0.0,56,1.0,0.0,12,26.4,C - Cintura,0.9055462857142856,0.21428571428571427
Esperia,1.116956,0.21323529411764705,0.0,136,2.0,0.0,17,26.8,C - Cintura,0.903720705882353,0.125
Ripi,1.097451,0.868421052631579,0.0,38,1.0,0.0,33,13.8,C - Cintura,0.22902994736842097,0.868421052631579
Vetralla,1.083461,0.6595744680851063,0.0,141,2.0,0.0,91,16.1,C - Cintura,0.42388653191489367,0.6453900709219859
Minturno,1.080779,1.0,0.5961538461538461,52,1.0,1.0,52,21.0,C - Cintura,0.08077899999999993,1.0
Gorga,1.073443,0.12121212121212122,0.0,33,1.0,0.0,4,43.8,E - Periferico,0.9522308787878787,0.12121212121212122
Sperlonga,1.07021,0.5833333333333334,0.0,24,1.0,0.0,14,22.3,C - Cintura,0.48687666666666674,0.5833333333333334
Sermoneta,1.066173,0.8,0.03636363636363636,55,1.0,1.0,44,28.1,D - Intermedio,0.266173,0.8
Rieti,1.056832,0.8467432950191571,0.23371647509578544,261,3.0,1.0,216,0.0,A - Polo,0.21008870498084287,0.8275862068965517
Arpino,1.052662,0.6231884057971014,0.028985507246376812,69,1.0,1.0,43,35.4,D - Intermedio,0.42947359420289855,0.6231884057971014
Priverno,1.048671,0.4,0.0,70,2.0,0.0,27,37.4,D - Intermedio,0.6486709999999999,0.38571428571428573
Terracina,1.044752,0.9476744186046512,0.48255813953488375,172,1.0,1.0,163,44.1,E - Periferico,0.09707758139534872,0.9476744186046512
Castel San Pietro Romano,1.032909,0.9444444444444444,0.5,18,1.0,1.0,17,38.0,D - Intermedio,0.08846455555555566,0.9444444444444444
Ceccano,1.030996,0.7307692307692307,0.11538461538461539,78,1.0,1.0,57,15.6,C - Cintura,0.3002267692307693,0.7307692307692307
San Lorenzo Nuovo,1.030812,0.972972972972973,0.05405405405405406,37,1.0,1.0,36,26.5,C - Cintura,0.057839027027027035,0.972972972972973
Gallese,1.027508,0.8,0.0,45,2.0,0.0,33,37.0,D - Intermedio,0.22750800000000004,0.7333333333333333
Patrica,1.02207,0.7878787878787878,0.15151515151515152,33,1.0,1.0,26,28.3,D - Intermedio,0.2341912121212122,0.7878787878787878
Poggio Bustone,1.020706,0.3333333333333333,0.0,27,1.0,0.0,9,18.9,C - Cintura,0.6873726666666666,0.3333333333333333
Civita Castellana,1.019124,0.9166666666666666,0.4351851851851852,108,1.0,1.0,99,42.9,E - Periferico,0.10245733333333329,0.9166666666666666
Giuliano di Roma,1.015892,0.627906976744186,0.0,43,1.0,0.0,27,23.0,C - Cintura,0.38798502325581397,0.627906976744186
Poli,1.012606,0.7142857142857143,0.03571428571428571,28,1.0,1.0,20,32.1,D - Intermedio,0.2983202857142856,0.7142857142857143
San Felice Circeo,1.008882,0.75,0.0,40,1.0,0.0,30,40.9,D - Intermedio,0.25888200000000006,0.75
Ciciliano,1.008678,0.7083333333333334,0.0,24,1.0,0.0,17,22.7,C - Cintura,0.3003446666666666,0.7083333333333334
Vallinfreda,1.005196,0.09523809523809523,0.0,21,1.0,0.0,2,42.5,E - Periferico,0.9099579047619047,0.09523809523809523
Marano Equo,1.002447,0.875,0.0,8,1.0,0.0,7,35.3,D - Intermedio,0.1274470000000001,0.875
Grotte di Castro,1.0,0.8095238095238095,0.047619047619047616,42,1.0,1.0,34,34.0,D - Intermedio,0.19047619047619047,0.8095238095238095
Gradoli,1.0,0.16363636363636364,0.0,55,1.0,0.0,9,36.2,D - Intermedio,0.8363636363636364,0.16363636363636364
Canterano,1.0,0.8,0.2,10,1.0,1.0,8,37.4,D - Intermedio,0.19999999999999996,0.8
Poggio San Lorenzo,1.0,0.18181818181818182,0.0,11,1.0,0.0,2,20.7,C - Cintura,0.8181818181818181,0.18181818181818182
Strangolagalli,1.0,0.3333333333333333,0.0,12,1.0,0.0,4,22.1,C - Cintura,0.6666666666666667,0.3333333333333333
Piedimonte San Germano,1.0,0.9473684210526315,0.0,19,1.0,0.0,18,14.1,C - Cintura,0.052631578947368474,0.9473684210526315
